Start time : 02:44:26
12x12 1 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 1 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 2 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 2 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 3 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 3 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 4 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 4 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 5 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 5 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 6 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 6 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 7 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 7 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 8 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 8 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 9 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 9 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 10 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 10 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 11 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 11 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 12 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 12 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 13 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 13 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 14 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 14 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 15 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 15 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 16 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 16 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 17 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 17 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 18 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 18 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 19 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 19 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 20 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 20 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 21 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' },    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' } 
12x12 21 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 22 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 22 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 23 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
12x12 23 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
12x12 24 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 24 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
12x12 25 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
12x12 25 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
16x16 1 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 1 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 2 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 2 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 3 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 3 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
16x16 4 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 4 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 5 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 5 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 6 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 6 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 7 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 7 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 8 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 8 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
16x16 9 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 9 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 10 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 10 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 11 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 11 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
16x16 12 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 12 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 13 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 13 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 14 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 14 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 15 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 15 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 16 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
